Type an 'x' in this column to bookmark this school in the 'Programs' tab,School Name,"School DBN Code (Link to NYC School Finder)",Borough,Number of Programs at School,10th Grade Seats Offered?,School Type,"Neighborhood (Link to map of school address)","School Graduation Rate (Links to School Quality Snapshot)",Student Attendance Rate,Percent of students who feel safe,AP Courses Offered? (Link to AP Courses tab),Bilingual Programs at School?,CTE Offered? (Link to CTE Programs tab),Site Accessibility,DBN Ref,Bookmark
,Epic High School - North,27Q334,Q,1,,,Richmond Hill,N/A,92%,94%,,,,Not Accessible,27Q334,0
,Epic High School - South,27Q314,Q,1,,,South Ozone Park,N/A,88%,87%,,,,Accessible,27Q314,0
,Esperanza Preparatory Academy,04M372,M,1,,,East Harlem South,N/A,85%,85%,Yes,DL: Spanish,,Accessible,04M372,0
,Essex Street Academy,02M294,M,1,Yes,Performance Assessment School,Chinatown,84%,86%,93%,Yes,,,Not Accessible,02M294,0
,Excelsior Preparatory High School,29Q265,Q,1,,,Springfield Gardens North,75%,90%,76%,,,,Accessible,29Q265,0
,Eximius College Preparatory Academy: A College Board School,09X250,BX,1,,,Claremont-Bathgate,85%,89%,81%,Yes,,,Not Accessible,09X250,0
,Expeditionary Learning School for Community Leaders,21K572,BK,1,,Performance Assessment School,Gravesend,82%,88%,90%,Yes,,,Accessible,21K572,0
,Explorations Academy,12X251,BX,1,Yes,,Crotona Park East,59%,82%,86%,Yes,,,Not Accessible,12X251,0
,"Facing History School, The",02M303,M,1,Yes,Performance Assessment School,Clinton,67%,83%,93%,,,,Accessible,02M303,0
,Fannie Lou Hamer Freedom High School,12X682,BX,1,Yes,Performance Assessment School,Crotona Park East,66%,82%,88%,Yes,,,Accessible,12X682,0
,FDNY – Captain Vernon A. Richards High School for Fire and Life Safety,19K502,BK,1,,,East New York,74%,81%,82%,,,Yes,Not Accessible,19K502,0
,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",08X519,BX,2,Yes,,Castle Hill-Clason Point,46%,79%,70%,,,Yes,Accessible,08X519,0
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,M,6,Yes,Specialized HS,Lincoln Square,98%,95%,94%,Yes,,Yes,Accessible,03M485,0
,Flushing High School,25Q460,Q,4,Yes,,Flushing,58%,83%,71%,Yes,"TBE: Chinese, Spanish",Yes,Not Accessible,25Q460,0
,Flushing International High School,25Q263,Q,1,,"Performance Assessment School, School for New Arrivals",Murray Hill,72%,92%,89%,,,,Not Accessible,25Q263,0
,Food and Finance High School,02M288,M,1,Yes,,Clinton,81%,89%,86%,Yes,,Yes,Accessible,02M288,0
,Fordham High School for the Arts,10X437,BX,1,Yes,,Belmont,91%,93%,92%,Yes,,Yes,Accessible,10X437,0
,Fordham Leadership Academy for Business and Technology,10X438,BX,1,Yes,,Belmont,49%,83%,80%,Yes,,,Accessible,10X438,0
,Forest Hills High School,28Q440,Q,6,Yes,,Forest Hills,88%,91%,85%,Yes,,Yes,Accessible,28Q440,0
,Fort Hamilton High School,20K490,BK,6,Yes,,Bay Ridge,74%,93%,81%,Yes,"TBE: Arabic, Chinese, Spanish",Yes,Accessible,20K490,0
,Francis Lewis High School,26Q430,Q,5,Yes,,Auburndale,88%,93%,90%,Yes,TBE: Chinese,Yes,Accessible,26Q430,0
,Frank McCourt High School,03M417,M,1,Yes,,Upper West Side,92%,94%,86%,,,,Accessible,03M417,0
,Frank Sinatra School of the Arts High School,30Q501,Q,6,Yes,,Astoria,97%,95%,98%,Yes,,Yes,Accessible,30Q501,0
,Franklin Delano Roosevelt High School,20K505,BK,6,Yes,,Borough Park,63%,85%,85%,Yes,"TBE: Chinese, Spanish",,Not Accessible,20K505,0
,Frederick Douglass Academy,05M499,M,2,Yes,,Central Harlem North,69%,89%,74%,Yes,,,Accessible,05M499,0
,Frederick Douglass Academy II Secondary School,03M860,M,2,Yes,,Central Harlem South,64%,80%,77%,Yes,,,Accessible,03M860,0
,Frederick Douglass Academy III Secondary School,09X517,BX,1,,,Claremont-Bathgate,67%,80%,86%,Yes,,,Not Accessible,09X517,0
,Frederick Douglass Academy IV Secondary School,16K393,BK,1,,,Bedford-Stuyvesant,71%,79%,89%,,,,Not Accessible,16K393,0
,Frederick Douglass Academy VI High School,27Q260,Q,1,Yes,,Far Rockaway-Bayswater,45%,83%,80%,,,,Not Accessible,27Q260,0
,Frederick Douglass Academy VII High School,23K514,BK,1,Yes,,Brownsville,57%,78%,80%,Yes,,,Accessible,23K514,0
,Gaynor McCown Expeditionary Learning School,31R064,SI,1,Yes,,Todt Hill-Heartland Village,81%,91%,90%,Yes,,,Accessible,31R064,0
,George Washington Carver High School for the Sciences,29Q272,Q,2,,,Springfield Gardens North,74%,90%,79%,Yes,,Yes,Accessible,29Q272,0
,George Westinghouse Career and Technical Education High School,13K605,BK,5,Yes,,DUMBO-Downtown Brooklyn,74%,86%,81%,Yes,,Yes,Accessible,13K605,0
,Gotham Professional Arts Academy,16K594,BK,1,Yes,Performance Assessment School,Bedford-Stuyvesant,57%,78%,89%,,,,Not Accessible,16K594,0
,Gramercy Arts High School,02M374,M,2,Yes,,Gramercy,89%,87%,83%,Yes,,,Accessible,02M374,0
,Green School: An Academy for Environmental Careers,14K454,BK,3,Yes,,East Williamsburg,65%,84%,86%,Yes,TBE: Spanish,,Not Accessible,14K454,0
,Greenpoint Art and Technical High School (Frances Perkins Academy),14K632,BK,2,Yes,,Williamsburg,73%,85%,92%,,TBE: Spanish,,Accessible,14K632,0
,Gregorio Luperon High School for Science and Mathematics,06M552,M,1,,School for New Arrivals,Washington Heights S.,76%,91%,94%,Yes,TBE: Spanish,,Accessible,06M552,0
,Grover Cleveland High School,24Q485,Q,6,Yes,,Ridgewood,63%,82%,78%,Yes,TBE: Spanish,Yes,Accessible,24Q485,0
,Harry S Truman High School,11X455,BX,7,Yes,,Co-op City,63%,89%,70%,Yes,,Yes,Accessible,11X455,0
,Harvest Collegiate High School,02M534,M,1,Yes,Performance Assessment School,West Village,N/A,91%,86%,Yes,,,Not Accessible,02M534,0
,Health Opportunities High School,07X670,BX,1,Yes,,West Concourse,61%,79%,83%,Yes,,,Accessible,07X670,0
,Herbert H. Lehman High School,08X405,BX,3,Yes,,Schuylerville-Throgs Neck,40%,79%,69%,Yes,,Yes,Accessible,08X405,0
,"Heritage School, The",04M680,M,1,Yes,,East Harlem South,61%,83%,74%,Yes,,,Accessible,04M680,0
,"HERO High (Health, Education, and Research Occupations High School)",07X259,BX,1,Yes,"Early College, 9-14 School",Mott Haven-Port Morris,N/A,84%,75%,,,Yes,Accessible,07X259,0
,High School for Arts and Business,24Q550,Q,1,Yes,,Corona,90%,90%,96%,Yes,TBE: Spanish,Yes,Not Accessible,24Q550,0
,High School for Civil Rights,19K504,BK,1,Yes,,East New York,68%,75%,90%,,,,Not Accessible,19K504,0
,High School for Community Leadership,28Q328,Q,1,,,Briarwood-Jamaica Hills,84%,83%,91%,Yes,,,Not Accessible,28Q328,0
,"High School for Construction Trades, Engineering and Architecture",27Q650,Q,3,Yes,,Richmond Hill,95%,94%,91%,Yes,,Yes,Accessible,27Q650,0
,High School for Contemporary Arts,11X544,BX,2,Yes,,Williamsbridge-Olinville,60%,79%,60%,,,,Accessible,11X544,0
,High School for Dual Language and Asian Studies,02M545,M,1,,,Chinatown,97%,98%,95%,Yes,DL: Chinese; TBE: Chinese,,Not Accessible,02M545,0
,High School for Energy and Technology,10X565,BX,1,,,Belmont,N/A,86%,78%,,,Yes,Not Accessible,10X565,0
,High School for Environmental Studies,02M400,M,2,Yes,,Clinton,82%,89%,88%,Yes,,,Accessible,02M400,0
,High School for Excellence and Innovation,06M423,M,1,,Transfer School,Inwood,N/A,67%,92%,Yes,TBE: Spanish,,Not Accessible,06M423,0
,High School for Health Careers and Sciences,06M468,M,1,Yes,,Washington Heights N.,70%,86%,84%,Yes,TBE: Spanish,,Accessible,06M468,0
,High School for Health Professions and Human Services,02M420,M,2,Yes,,Gramercy,90%,92%,92%,Yes,,Yes,Accessible,02M420,0
