Bookmarked Schools,School Name,School DBN,Neighborhood,Subway Information,Bus Information
,“47” The American Sign Language and English Secondary School,02M047,Gramercy,"4, 5, Q to 14th St-Union Square ; 6, N, R to 23rd St ; L to 3rd Ave","BM1, BM2, BM3, BM4, BxM1, BxM10, BxM11, BxM18, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M5, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,A. Philip Randolph Campus High School,06M540,Manhattanville,"1 to 137th St - City College ; A, D to 125th St ; B, C to 135th St","Bx15, Bx19, Bx33, M10, M100, M101, M104, M11, M2, M3, M4, M5"
,Abraham Lincoln High School,21K410,West Brighton,B to Brighton Beach; F to Neptune Ave-Van Siclen; Q to Ocean Parkway,"B1, B36, B4, B68"
,Academy for Careers in Television and Film (ACTV),30Q301,Hunters Point-Sunnyside,7 to Vernon Blvd-Jackson Ave ; G to 21st St,"B32, B43, B62, Q103"
,Academy for College Preparation and Career Exploration: A College Board School,17K382,Flatbush,"2, 5, B, Q to Church Ave","B103, B12, B16, B35, B41, B44, B44-SBS, B49, BM1, BM2, BM3, BM4"
,Academy for Conservation and the Environment,18K637,Canarsie,N/A,"B103, B47, B6, B82, BM1, BM2"
,Academy for Environmental Leadership,32K403,Bushwick,"L, M to Myrtle Ave-Wyckoff Ave","B13, B20, B26, B38, B52, B54, B60, Q55, Q58"
,Academy for Health Careers,17K751,Crown Heights North,3 to Kingston Ave; A to Utica Ave; C to Kingston-Throop,"B15, B25, B26, B43, B44, B45, B46, B65"
,Academy for Language and Technology,09X365,University Heights-Morris Heights,"4 to 176th St ; B, D to 174th-175th Sts","Bx1, Bx18, Bx2, Bx3, Bx32, Bx36, Bx40, Bx42, BxM4"
,Academy for Scholarship and Entrepreneurship: A College Board School,11X270,Williamsbridge-Olinville,"2, 5 to 225th St","Bx31, Bx39, Bx8, BxM11"
,Academy for Social Action,05M367,Manhattanville,"1, A, B, C, D to 125th St","Bx15, Bx33, M10, M100, M101, M104, M11, M3, M4, M5, M60-SBS"
,Academy for Software Engineering (AFSE),02M546,Gramercy,"1, 2, 3, F, M to 14th St - 6th Ave ; 4, 5, 6, L, N, Q, R to 14th St-Union Square ; L to 3rd Ave","BM1, BM2, BM3, BM4, BxM10, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M5, M7, M8, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,Academy for Young Writers,19K404,East New York,N/A,"B100, B13, B20, B3, B41, B47, B6, B83, B84, BM1, BM5, Q8"
,Academy of American Studies,30Q575,Queensbridge-LIC,"7, N, Q to Queensboro Plaza; E, M, R to Queens Plaza; F to 21st St – Queensbridge; G to Court Sq – 23rd St","B62, Q100, Q101, Q102, Q103, Q32, Q39, Q60, Q66, Q67, Q69"
,Academy of Finance and Enterprise,24Q264,Hunters Point-Sunnyside,"7 to 33rd St ; E, M, R to Queens Plaza ; G to Court Sq - 23rd St ; N, Q to Queensboro Plaza","B62, Q100, Q101, Q102, Q32, Q39, Q60, Q66, Q67, Q69"
,Academy of Hospitality and Tourism,17K408,Flatbush,"2, 5, B, Q to Church Ave","B103, B12, B16, B35, B41, B44, B44-SBS, B49, BM1, BM2, BM3, BM4"
,Academy of Innovative Technology,19K618,Cypress Hills,"J, Z to 75th St – Elderts Lane","B13, Q56"
,Academy of Medical Technology: A College Board School,27Q309,Far Rockaway-Bayswater,A to Beach 25th St-Wavecrest,"Q114, Q22, QM17"
,Academy of Urban Planning,32K552,Bushwick,"L, M to Myrtle Ave-Wyckoff Ave","B13, B20, B26, B38, B52, B54, B60, Q55, Q58"
,ACORN Community High School,13K499,Crown Heights North,"2, 3 to Eastern Parkway-Brooklyn Museum; C to Franklin Ave; F, S to Park Place","B25, B26, B44, B44-SBS, B45, B48, B49, B52, B65, B69"
,Alfred E. Smith Career and Technical Education High School,07X600,Melrose S.-Mott Haven N.,"4 to 149th St-Grand Concourse ; 2, 5 to 3rd Ave-149th St","Bx1, Bx13, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx4, Bx41, Bx41-SBS, Bx4A, Bx6, BxM4"
,All City Leadership Secondary School,32K554,Bushwick,"L, M to Myrtle Ave-Wyckoff Ave","B13, B26, B38, B52, B54, B60, Q55, Q58"
,Antonia Pantoja Preparatory Academy: A College Board School,08X376,Castle Hill-Clason Point,N/A,"Bx22, Bx27, Bx36, Bx39, Bx5, BxM8"
,"Archimedes Academy for Math, Science and Technology Applications",08X367,Castle Hill-Clason Point,N/A,"Bx22, Bx27, Bx36, Bx39, Bx5"
,Art and Design High School,02M630,E. Midtown,"4, 5, 6, N, Q, R to Lexington Ave-59 St ; 6, E, M to Lexington Ave-53 St ; F to Lexington Ave-63 St","BM1, BM2, BM3, BM4, BM5, BxM1, BxM10, BxM11, BxM18, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M31, M4, M50, M57, Q101, Q32, Q60, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM21, QM24, QM3, QM4, QM5, QM6, X10, X10B, X12, X14, X17, X17J, X2, X22, X22A, X27, X28, X30, X31, X37, X38, X42, X5, X63, X64, X68"
,Arts & Media Preparatory Academy,18K589,Prospect Lefferts Gardens,N/A,"B12, B15, B17, B35, B46, B47, B7"
,Astor Collegiate Academy,11X299,Bronxdale,"2, 5 to Pelham Parkway","Bx12, Bx12-SBS, Bx26, Bx39, Bx8, BxM11"
,August Martin High School,27Q400,Springfield Gardens North,N/A,"Q111, Q113, Q114, Q6, Q7, QM21"
,Automotive High School,14K610,Williamsburg,G to Nassau Ave; L to Bedford Ave,"B32, B43, B48, B62"
,Aviation Career & Technical Education High School,24Q610,Hunters Point-Sunnyside,7 to 33rd St,"B24, Q32, Q39, Q60, Q67"
,Baccalaureate School for Global Education,30Q580,Queensbridge-LIC,"M, R to 36th St ; N, Q to 36th Ave-Washington Ave","Q101, Q102, Q104, Q66"
,Banana Kelly High School,08X530,Longwood,"2, 5 to Prospect Ave ; 6 to Longwood Ave","Bx17, Bx19, Bx4, Bx46, Bx4A, Bx5, Bx6"
,Bard High School Early College,01M696,Lower East Side,"F to Delancey St; J, M, Z to Essex St","M14A, M14D, M21, M22, M8, M9, X37, X38"
,Bard High School Early College Queens,24Q299,Hunters Point-Sunnyside,"7 to 33rd St ; E, M, R to Queens Plaza ; G to Court Sq - 23rd St ; N, Q to Queensboro Plaza","B62, Q100, Q101, Q102, Q32, Q39, Q60, Q66, Q67, Q69"
,Baruch College Campus High School,02M411,Chelsea-Union Sq,"4, 5, L, Q to 14th St-Union Square ; 6, F, M, N, R to 23rd St ; B, D to 34th St-Herald Square","BM1, BM2, BM3, BM4, BM5, BxM1, BxM10, BxM11, BxM18, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M23, M3, M34A-SBS, M34-SBS, M4, M5, M7, M9, Q32, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM21, QM24, QM3, QM4, QM5, QM6, X1, X10, X10B, X12, X14, X17, X17J, X2, X22, X22A, X27, X28, X31, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,Bayside High School,26Q495,Bayside-Bayside Hills,N/A,"Q13, Q28, Q31, Q76, QM20"
,Beacon High School,03M479,Clinton,"1, 2, 3, 7, N, Q, R, S to 42nd ST–Times Square","M104, M11, M12, M20, M34A-SBS, M34-SBS, M42, M50, X17J, X21, X22, X22A, X30, X31"
,Bedford Academy High School,13K595,Bedford-Stuyvesant,"A to Nostrand Ave; C, S to Franklin Ave; G to Bedford-Nostrand","B25, B26, B38, B43, B44, B44-SBS, B48, B49, B52"
,Belmont Preparatory High School,10X434,Belmont,"B, D to Fordham Rd","Bx1, Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx2, Bx22, Bx28, Bx34, Bx38, Bx41, Bx41-SBS, Bx9, BxM4"
,Benjamin Banneker Academy,13K670,Clinton Hill,N/A,"B38, B48, B54, B57, B62, B67, B69"
,Benjamin Franklin High School for Finance & Information Technology,29Q313,Cambria Heights,N/A,"Q27, Q4, Q77, Q83, Q84, X64"
,Benjamin N. Cardozo High School,26Q415,Oakland Gardens,N/A,"Q27, Q30, QM5, QM8"
,Boys and Girls High School,16K455,Bedford-Stuyvesant,"A, C to Utica Ave","B15, B25, B26, B43, B45, B46, B47, B65"
,Bronx Academy for Software Engineering (BASE),10X264,Belmont,N/A,"Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx22, Bx36, Bx9"
,Bronx Academy of Health Careers,11X290,Williamsbridge-Olinville,"2, 5 to Gun Hill Rd","Bx28, Bx30, Bx38, Bx39, Bx41, Bx41-SBS, Bx8, BxM11"
,Bronx Aerospace High School,11X545,Williamsbridge-Olinville,"2, 5 to Gun Hill Rd","Bx28, Bx30, Bx38, Bx39, Bx41, Bx41-SBS, Bx8, BxM11"
,Bronx Bridges High School,08X432,Castle Hill-Clason Point,N/A,"Bx22, Bx27, Bx36, Bx39, Bx5, BxM8"
,Bronx Career and College Preparatory High School,12X479,Longwood,"2, 5 to Intervale Ave","Bx11, Bx15, Bx17, Bx19, Bx21, Bx27, Bx35, Bx4, Bx4A, Bx5, Bx6"
,Bronx Center for Science and Mathematics,09X260,Claremont-Bathgate,N/A,"Bx11, Bx15, Bx17, Bx21, Bx35, Bx41, Bx41-SBS"
,Bronx Collaborative High School,10X351,Van Cortlandt Village,"4 to Mosholu Parkway ; B, D to Bedford Park Blvd","Bx1, Bx10, Bx16, Bx2, Bx22, Bx26, Bx28, Bx30, Bx34, Bx38, BxM3, BxM4"
,Bronx Collegiate Academy,09X227,E. Concourse-Concourse Village,"4, B, D to 170th St","Bx1, Bx11, Bx15, Bx18, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, BxM4"
,Bronx Compass High School,08X561,Castle Hill-Clason Point,N/A,"Bx22, Bx27, Bx36, Bx39, Bx5, BxM8"
,Bronx Design and Construction Academy,07X522,Melrose S.-Mott Haven N.,"4 to 149th St-Grand Concourse ; 2, 5 to 3rd Ave-149th St","Bx1, Bx13, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx4, Bx41, Bx41-SBS, Bx4A, Bx6, BxM4"
,Bronx Early College Academy for Teaching & Learning,09X324,E. Concourse-Concourse Village,"4, B, D to 161st St-Yankee Stadium ; B, D to 167th St","Bx1, Bx13, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, Bx6, BxM4"
,Bronx Engineering and Technology Academy,10X213,Spuyten Duyvil-Kingsbridge,1 to Marble Hill - 225th St,"Bx1, Bx10, Bx2, Bx20, Bx7, Bx9, BxM1, BxM18, BxM2, M100"
,Bronx Envision Academy,12X511,Crotona Park East,"2, 5 to 174th St","Bx11, Bx17, Bx19, Bx21, Bx36"
,Bronx Guild,08X452,Castle Hill-Clason Point,N/A,"Bx22, Bx27, Bx36, Bx39, Bx5, BxM8"
,Bronx Health Sciences High School,11X249,Co-op City,5 to Baychester Ave,"Bx12, Bx12-SBS, Bx23, Bx26, Bx28, Bx29, Bx30, Bx38, Bx5, BxM7, Q50"
,Bronx High School for Law and Community Service,10X439,Belmont,"B, D to Fordham Rd","Bx1, Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx2, Bx22, Bx28, Bx34, Bx38, Bx41, Bx41-SBS, Bx9, BxM4"
,Bronx High School for Medical Science,09X413,E. Concourse-Concourse Village,"4, B, D to 170th St","Bx1, Bx11, Bx15, Bx18, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, BxM4"
,Bronx High School for the Visual Arts,11X418,Pelham Parkway,"2, 5 to Bronx Park East","Bx12, Bx12-SBS, Bx21, Bx22, Bx39, BxM10, BxM11"
,Bronx High School for Writing and Communication Arts,11X253,Williamsbridge-Olinville,"2, 5 to Gun Hill Rd","Bx28, Bx30, Bx38, Bx39, Bx41, Bx41-SBS, Bx8, BxM11"
,Bronx High School of Business,09X412,E. Concourse-Concourse Village,"4, B, D to 170th St","Bx1, Bx11, Bx15, Bx18, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, BxM4"
,Bronx High School of Science,10X445,Van Cortlandt Village,"4 to Bedford Park Blvd - Lehman College ; B, D to Bedford Park Blvd","Bx1, Bx10, Bx2, Bx22, Bx26, Bx28, Bx3, Bx38, BxM3, BxM4"
,Bronx International High School,09X403,Morrisania-Melrose,"2, 5 to Intervale Ave","Bx13, Bx15, Bx17, Bx21, Bx35, Bx4, Bx41, Bx41-SBS, Bx4A, Bx6"
,Bronx Lab School,11X265,Williamsbridge-Olinville,"2, 5 to Gun Hill Rd","Bx28, Bx30, Bx38, Bx39, Bx41, Bx41-SBS, Bx8, BxM11"
,Bronx Latin,12X267,Longwood,"2, 5 to Intervale Ave","Bx11, Bx15, Bx17, Bx19, Bx21, Bx27, Bx35, Bx4, Bx4A, Bx5, Bx6"
,Bronx Leadership Academy High School,09X525,Claremont-Bathgate,"B, D to 174th-175th Sts","Bx1, Bx11, Bx15, Bx17, Bx2, Bx32, Bx36, Bx40, Bx41, Bx41-SBS, Bx42, BxM4"
,Bronx Leadership Academy II High School,07X527,E. Concourse-Concourse Village,"2, 4, 5 to 149th St-Grand Concourse ; B, D to 161st St-Yankee Stadium","Bx1, Bx13, Bx19, Bx2, Bx32, Bx41, Bx41-SBS, Bx6, BxM4"
,Bronx River High School,08X349,Schuylerville-Throgs Neck,6 to Westchester Sq - East Tremont Ave,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8"
,"Bronx School for Law, Government and Justice",09X505,E. Concourse-Concourse Village,"4, B, D to 161st St-Yankee Stadium","Bx1, Bx13, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, Bx6, BxM4"
,Bronx School of Law and Finance,10X284,Spuyten Duyvil-Kingsbridge,1 to Marble Hill - 225th St,"Bx1, Bx10, Bx2, Bx20, Bx7, Bx9, BxM1, BxM18, BxM2, M100"
,Bronx Studio School for Writers and Artists,08X269,Hunts Point,"2, 5 to Intervale Ave ; 6 to Hunts Point Ave","Bx11, Bx17, Bx19, Bx27, Bx35, Bx4, Bx46, Bx4A, Bx5, Bx6"
,Bronx Theatre High School,10X546,Spuyten Duyvil-Kingsbridge,1 to Marble Hill - 225th St,"Bx1, Bx10, Bx2, Bx20, Bx7, Bx9, BxM1, BxM18, BxM2, M100"
,Bronxdale High School,11X508,Bronxdale,"2, 5 to Pelham Parkway","Bx12, Bx12-SBS, Bx26, Bx39, Bx8, BxM11"
,Brooklyn Academy of Science and the Environment,17K547,Crown Heights South,"2, 3, 4, 5 to Franklin Ave; B, Q to Prospect Park; F to Park Place; S to Botanic Garden","B16, B41, B43, B44-SBS, B45, B48, B49, B69"
,Brooklyn College Academy,22K555,Windsor Terrace,"B, Q to Church Ave; F, G to Fort Hamilton Parkway","B103, B16, B35, B67, B68, B69, BM3, BM4"
,Brooklyn Collegiate: A College Board School,23K493,Ocean Hill,"A, J, L, Z to Broadway Junction; C to Rockaway Ave","B12, B14, B25, B45, B47, B60, B65, B7"
,"Brooklyn Community High School of Communication, Arts and Media (BCAM)",13K412,Clinton Hill,G to Classon Ave,"B38, B44, B44-SBS, B48, B52, B54, B57, B62"
,Brooklyn Frontiers High School,15K423,DUMBO-Downtown Brooklyn,"2, 3, 4, 5 to Court St – Bourough Hall; A, C, F, R to Jay St-MetroTech; B, Q to DeKalb Ave; G to Hoyt & Schermerhorn","B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B63, B65, B67"
,Brooklyn Generation School,18K566,Canarsie,N/A,"B103, B47, B6, B82, BM1, BM2"
,Brooklyn High School for Law and Technology,16K498,Bedford-Stuyvesant,"J, Z to Gates Ave","B20, B26, B38, B46, B47, B52, B7, Q24"
,Brooklyn High School of the Arts,15K656,DUMBO-Downtown Brooklyn,"2, 3, 4, 5, B, D, N, Q, R to Atlantic Ave – Barclays Center; A to Hoyt & Schermerhorn; C to Lafayette Ave; G to Fulton St","B103, B25, B26, B37, B38, B41, B45, B52, B63, B65, B67"
,Brooklyn Institute for Liberal Arts (BILA),17K745,Prospect Lefferts Gardens,"2, 5 to Winthrop St","B12, B17, B43, B44, B44-SBS"
,Brooklyn International High School,13K439,DUMBO-Downtown Brooklyn,"2, 3, 4, 5 to Court St – Bourough Hall; A, C to High St; B, Q to DeKalb Ave; F to York St; R to Jay St-MetroTech","B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B65, B67, B69"
,Brooklyn Lab School,19K639,Cypress Hills,"J, Z to 75th St – Elderts Lane","B13, Q56"
,"Brooklyn Latin School, The",14K449,East Williamsburg,"G to Metropolitan Ave-Lorimer St; J, M to Lorimer St; L to Grand St","B24, B43, B46, B48, B60, Q54, Q59"
,Brooklyn Preparatory High School,14K488,Williamsburg,"G to Metropolitan Ave-Lorimer St; J, M, Z to Marcy Ave; L to Bedford Ave","B24, B32, B39, B44, B44-SBS, B46, B48, B60, B62, Q54, Q59"
,Brooklyn School for Music & Theatre,17K548,Crown Heights South,"2, 3, 4, 5 to Franklin Ave; B, Q to Prospect Park; F to Park Place; S to Botanic Garden","B16, B41, B43, B44-SBS, B45, B48, B49, B69"
,Brooklyn Secondary School for Collaborative Studies,15K448,Carroll Gardens-Red Hook,"F, G to Carroll St","B57, B61, X12, X14, X17, X17A, X19, X3, X31, X42, X5, X8, X9"
,Brooklyn Studio Secondary School,21K690,Bensonhurst West,D to 20th Ave,"B1, B4, B6, B64, B8, B82"
,Brooklyn Technical High School,13K430,Fort Greene,"D, N to Atlantic Ave – Barclays Center; G to Fulton St; 2, 3, 4, 5 to Nevins St; A to Hoyt & Schermerhorn; B, Q, R to DeKalb Ave; C to Lafayette Ave","B103, B25, B26, B37, B38, B41, B45, B52, B54, B62, B63, B65, B67, B69"
,Brooklyn Theatre Arts High School,18K567,Canarsie,N/A,"B103, B47, B6, B82, BM1, BM2"
,Bushwick Leaders High School for Academic Excellence,32K556,Bushwick,J to Kosciusko St; M to Central Ave; Z to Gates Ave,"B38, B46, B47, B52, B54, B60, Q24"
,Bushwick School for Social Justice,32K549,Bushwick,"L, M to Myrtle Ave-Wyckoff Ave","B13, B20, B26, B38, B52, B54, B60, Q55, Q58"
,Business Of Sports School (BOSS),02M393,Clinton,"1, C, E to 50th St ; 2, B, D to 59th St-Columbus Circle ; A to 42nd St-Port Authority Bus Terminal ; B, D to 7th Ave ; N, Q, R to 49th St","BxM2, M10, M104, M11, M12, M20, M31, M34A-SBS, M42, M50, M57, M7, X1, X12, X14, X17J, X21, X22, X22A, X30, X31, X42, X7, X9"
,Business Technology Early College High School (BTECH),26Q315,Bellerose,N/A,"Q1, Q27, Q43, Q46, Q88, QM6, X68"
,Cambria Heights Academy,29Q326,Jamaica,N/A,"Q1, Q110, Q17, Q2, Q3, Q36, Q43, Q76, Q77, Q83, X64, X68"
,"Celia Cruz Bronx High School of Music, The",10X442,Van Cortlandt Village,"4, B, D to Kingsbridge Rd","Bx1, Bx10, Bx2, Bx22, Bx26, Bx28, Bx3, Bx32, Bx34, Bx38, Bx9, BxM3, BxM4"
,Central Park East High School,04M555,East Harlem South,"2, 3 to Central Park North-110th St ; 6 to 103rd St ; 6 to 110th St","BxM11, BxM2, BxM3, BxM4, M1, M101, M102, M103, M106, M116, M15, M15-SBS, M2, M3, M4, M96, M98"
,Channel View School for Research,27Q262,Breezy Point-Rockaway Park,"A, S to Beach 98th St-Playland","Q22, Q52, Q53, QM16, QM17"
,Chelsea Career and Technical Education High School,02M615,SoHo-Tribeca,"1, 6, A, J, N, Q, R, Z to Canal St ; 4, B, D, F, M to Broadway-Lafayette St ; C, E to Spring St ; N, R to Prince St","BxM18, M20, M21, M5, X1, X10, X10B, X12, X17, X27, X28, X7, X9"
,City College Academy of the Arts,06M293,Washington Heights N.,1 to Dyckman St ; A to 190th St,"Bx7, BxM1, M100, M101, M3, M4, M98"
,"City Polytechnic High School of Engineering, Architecture, and Technology",13K674,DUMBO-Downtown Brooklyn,"2, 3, 4, 5 to Court St – Bourough Hall; A, C, F, R to Jay St-MetroTech; B, Q to DeKalb Ave; G to Hoyt & Schermerhorn","B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B63, B65, B67, B69"
,Civic Leadership Academy,24Q293,Elmhurst,7 to Junction Blvd,"Q29, Q38, Q53, Q58, Q72"
,Clara Barton High School,17K600,Crown Heights South,"2, 3, 4, 5 to Franklin Ave; F to Park Place; S to Botanic Garden","B41, B43, B44-SBS, B45, B48, B49"
,Claremont International HS,09X564,E. Concourse-Concourse Village,"4, B, D to 170th St","Bx1, Bx11, Bx15, Bx18, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, BxM4"
,"Clinton School Writers & Artists, M.S. 260",02M260,Chelsea-Union Sq,"1, 2, 3, F, M to 14th St - 6th Ave; 4, 5, L, Q to 14th St-Union Square; 6, N, R to 23rd St","BM1, BM2, BM3, BM4, BxM10, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M20, M23, M3, M5, M7, M8, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,Coalition School for Social Change,04M409,East Harlem North,"4, 5 to 125th St ; 6 to 116th St","Bx15, BxM10, BxM6, BxM7, BxM8, BxM9, M100, M101, M102, M103, M116, M15, M15-SBS, M35, M60-SBS, M98"
,Cobble Hill School of American Studies,15K519,DUMBO-Downtown Brooklyn,"2, 3 to Hoyt St – Fulton Mall; A, C to Hoyt & Schermerhorn; F, G to Bergen St","B103, B37, B41, B45, B57, B61, B62, B63, B65, B67"
,Collegiate Institute for Math and Science (CIMS),11X288,Bronxdale,"2, 5 to Pelham Parkway","Bx12, Bx12-SBS, Bx26, Bx39, Bx8, BxM11"
,Columbia Secondary School,05M362,Morningside Heights,"1, A, B, C, D to 125th St","Bx15, M10, M100, M101, M104, M11, M116, M2, M3, M4, M5, M60-SBS, M7"
,Community Health Academy of the Heights,06M346,Washington Heights S.,"1 to 157th St ; B, C, D to 155th St","Bx6, Bx7, M10, M100, M101, M2, M3, M4, M5"
,Community School for Social Justice,07X427,West Concourse,"2 to 149th St-Grand Concourse ; 3 to 145th St ; 4, 5 to 138th St - Grand Concourse ; 6 to 3rd Ave - 138th St","Bx1, Bx13, Bx15, Bx19, Bx2, Bx21, Bx32, Bx33, M1, M102, M7"
,Comprehensive Model School Project M.S. 327,09X327,West Concourse,"4 to Mt Eden Ave ; B, D to 170th St","Bx1, Bx11, Bx13, Bx18, Bx2, Bx3, Bx32, Bx35, Bx36, BxM4"
,Crotona Academy High School,12X321,Melrose S.-Mott Haven N.,"2, 5 to Freeman St","Bx13, Bx15, Bx17, Bx19, Bx2, Bx21, Bx4, Bx41, Bx41-SBS, Bx46, Bx4A, Bx6"
,Crotona International High School,10X524,Belmont,N/A,"Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx22, Bx36, Bx9"
,CSI High School for International Studies,31R047,Todt Hill-Heartland Village,N/A,"S44, S55, S56, S59, S61, S79-SBS, S89, S91, S94, X17, X17A, X17J, X31"
,Cultural Academy for the Arts and Sciences,18K629,East Flatbush,N/A,"B17, B35, B46, B47, B7, B8"
,Curtis High School,31R450,New Brighton-St. George,SIR to St. George,"S40, S42, S44, S46, S48, S51, S52, S61, S62, S66, S74, S76, S78, S81, S84, S86, S90, S91, S92, S94, S96, S98"
,Cypress Hills Collegiate Preparatory School,19K659,Cypress Hills,"J, Z to 75th St – Elderts Lane","B13, Q56"
,DeWitt Clinton High School,10X440,Van Cortlandt Village,"4 to Mosholu Parkway ; B, D to Bedford Park Blvd","Bx1, Bx10, Bx16, Bx2, Bx22, Bx26, Bx28, Bx30, Bx34, Bx38, BxM3, BxM4"
,Digital Arts and Cinema Technology High School (Brooklyn School for Global Studies),15K429,DUMBO-Downtown Brooklyn,"A, C to Hoyt & Schermerhorn; F, G to Bergen St","B103, B41, B45, B57, B61, B62, B63, B65, B67"
,Discovery High School,10X549,Van Cortlandt Village,"4, B, D to Kingsbridge Rd","Bx1, Bx10, Bx2, Bx22, Bx26, Bx28, Bx3, Bx32, Bx34, Bx38, Bx9, BxM3, BxM4"
,Dr. Susan S. McKinney Secondary School of the Arts,13K265,Fort Greene,"B, Q, R to DeKalb Ave","B38, B54, B57, B62, B67, B69"
,DreamYard Preparatory School,09X329,E. Concourse-Concourse Village,"4, B, D to 170th St","Bx1, Bx11, Bx15, Bx18, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, BxM4"
,Eagle Academy for Young Men,09X231,Claremont-Bathgate,N/A,"Bx15, Bx17, Bx36, Bx40, Bx41, Bx41-SBS, Bx42"
,Eagle Academy for Young Men II,23K644,Ocean Hill,"A, L, Z to Broadway Junction; C to Rockaway Ave; J to Chauncey St","B12, B20, B25, B45, B47, B60, B65, B7, Q24"
,Eagle Academy for Young Men III,29Q327,St. Albans,N/A,"Q111, Q113, Q114, Q4, Q42, Q5, Q84, Q85, X63"
,Eagle Academy for Young Men of Harlem,05M148,Central Harlem North,"1 to 137th St - City College ; 2, 3, B, C to 135th St ; A, D to 125th St","Bx19, Bx33, M1, M10, M100, M101, M102, M104, M11, M2, M3, M4, M5, M7"
,East Bronx Academy for the Future,12X271,Crotona Park East,"2, 5 to 174th St","Bx11, Bx17, Bx19, Bx21, Bx36, Bx40, Bx42, Bx9"
,East New York Family Academy,19K409,East New York,3 to Van Siclen Ave,"B15, B20, B6, B83, B84, BM5"
,East Side Community School,01M450,East Village,6 to Astor Place ; L to 1st Ave,"M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M8, M9"
,East-West School of International Studies,25Q281,Flushing,N/A,"Q17, Q20A, Q20B, Q25, Q27, Q34, Q44-SBS, Q65"
,EBC High School for Public Service - Bushwick,32K545,Bushwick,J to Kosciusko St; M to Central Ave; Z to Myrtle Ave,"B15, B38, B46, B47, B52, B54, B60, Q24"
,Edward R. Murrow High School,21K525,Midwood,Q to Ave M,"B11, B49, B6, B68, B9, BM1, BM3, BM4"
,El Puente Academy for Peace and Justice,14K685,Williamsburg,"G to Broadway; J, M to Hewes St; Z to Marcy Ave","B24, B32, B39, B44, B44-SBS, B46, B48, B57, B60, B62, Q54, Q59"
