Bookmarked Schools,School Name,School DBN,Neighborhood,Subway Information,Bus Information
,Hudson High School of Learning Technologies,02M437,Chelsea-Union Sq,"1 to 18th St ; 2, 3, F, M to 14th St ; A, C, E, L to 14th St-8th Ave","M11, M12, M14A, M14D, M20, M23, M5, M7, X27, X28"
,Humanities & Arts Magnet High School,29Q498,Cambria Heights,N/A,"Q27, Q4, Q77, Q83, Q84, X64"
,Humanities Preparatory Academy,02M605,Chelsea-Union Sq,"1 to 18th St ; 2, 3, F, M to 14th St ; A, C, E, L to 14th St-8th Ave","M11, M12, M14A, M14D, M20, M23, M5, M7, X27, X28"
,Independence High School,02M544,Clinton,"1, 2, 3, A, C, D to 59th Street-Columbus Circle; N, Q, R to 57th Street","BxM2, M10, M104, M11, M12, M20, M31, M5, M50, M57, M66, M7, X1, X12, X14, X30, X42, X7, X9"
,Information Technology High School,30Q502,Hunters Point-Sunnyside,"7, E, G, M to Court Sq - 23rd St ; F to 21st St - Queensbridge ; N, Q to Queensboro Plaza ; R to Queens Plaza","B32, B62, Q100, Q101, Q102, Q103, Q32, Q39, Q60, Q66, Q67, Q69"
,Institute for Collaborative Education (ICE),02M407,Gramercy,"4, 5, 6, N, Q, R to 14th St-Union Square ; L to 1st Ave","BM1, BM2, BM3, BM4, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M8, M9, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,Institute for Health Professions at Cambria Heights,29Q243,Cambria Heights,N/A,"Q27, Q4, Q77, Q83, Q84, X64"
,In-Tech Academy (M.S. / High School 368),10X368,Spuyten Duyvil-Kingsbridge,1 to Marble Hill - 225th St,"Bx1, Bx10, Bx2, Bx20, Bx7, Bx9, BxM1, BxM18, BxM2, M100"
,International Community High School,07X334,Mott Haven-Port Morris,"2, 5 to 3rd Ave-149th St ; 6 to Brook Ave","Bx1, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx41, Bx41-SBS, Bx4A"
,International High School at Lafayette,21K337,Gravesend,D to 25th Ave; N to Ave U; N to Gravesend  –  86th St,"B1, B3, B4, B6, B64, B82, X28, X38"
,International High School at LaGuardia Community College,24Q530,Hunters Point-Sunnyside,"7 to 33rd St ; E, M, R to Queens Plaza","B24, B62, Q100, Q101, Q102, Q32, Q39, Q60, Q67"
,International High School at Prospect Heights,17K524,Crown Heights South,"2, 3, 4, 5 to Franklin Ave; B, Q to Prospect Park; F to Park Place; S to Botanic Garden","B16, B41, B43, B44-SBS, B45, B48, B49, B69"
,International High School at Union Square,02M438,Gramercy,"1, 2, 3, F, M to 14th St - 6th Ave ; 4, 5, 6, L, N, Q, R to 14th St-Union Square ; L to 3rd Ave","BM1, BM2, BM3, BM4, BxM10, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M5, M7, M8, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,International High School for Health Sciences,24Q236,Elmhurst,"M, R to Grand Ave - Newtown","Q29, Q38, Q53, Q58, Q59, Q60, Q72, Q88, QM10, QM11"
,International School for Liberal Arts,10X342,Van Cortlandt Village,"4, B, D to Kingsbridge Rd","Bx1, Bx10, Bx2, Bx22, Bx26, Bx28, Bx3, Bx32, Bx34, Bx38, Bx9, BxM3, BxM4"
,Inwood Early College for Health and Information Technologies,06M211,Inwood,1 to Dyckman St ; A to Dyckman St-200th St,"Bx12, Bx12-SBS, Bx20, Bx7, BxM1, M100, M3, M4"
,It Takes a Village Academy,18K563,East Flatbush,N/A,"B17, B35, B46, B47, B7, B8"
,Jacqueline Kennedy Onassis High School,02M529,Midtown,"1, 2, 3, A, C, E, S to Times Square-42nd St ; 4, 5, 6 to Grand Central - 42nd St ; 7 to 42nd St-Bryant Park ; B, D, F, M to 47-50th Sts Rockefeller Center ; N, Q, R to 49th St","BM1, BM2, BM3, BM4, BM5, BxM10, BxM11, BxM18, BxM2, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M104, M11, M2, M20, M3, M34A-SBS, M4, M42, M5, M50, M7, Q32, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM21, QM24, QM3, QM4, QM5, QM6, X1, X10, X10B, X12, X14, X17, X17J, X2, X21, X22, X22A, X27, X28, X30, X31, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,Jamaica Gateway to the Sciences,28Q350,Briarwood-Jamaica Hills,F to 169th St,"Q1, Q17, Q2, Q25, Q3, Q30, Q31, Q34, Q36, Q43, Q6, Q65, Q76, Q77, Q8, X68"
,James Madison High School,22K425,Madison,N/A,"B100, B2, B31, B41, B44, B44-SBS, B49, B7, B82, BM3, BM4"
,John Adams High School,27Q480,South Ozone Park,A to 104th St-Oxford Ave,"Q11, Q112, Q21, Q37, Q41, Q52, Q53, Q7, QM15"
