Bookmarked Schools,Program Information,,,,,,,Program Demand,,,,Program Priorities,Selection Criteria (previous year's minimum grades),,,,,,Demonstrated Interest Used?,Additional Requirements?
,School Name,School DBN,Borough,Program Code and Name,Admissions Method,Grade Level,Interest Area,GE Applicants Per Seat,GE Filled?,SWD Applicants Per Seat,SWD Filled?,Percent of Offers to Students in the First Priority Group,English Course Grade,Math Course Grade,Social Studies Course Grade,Science Course Grade,English Standardized Test Score,Math Standardized Test Score,,
,Brooklyn High School of the Arts,15K656,BK,K47K - Instrumental Music,Audition*,9/10,Performing Arts,2,N,2,N,94% of offers went to Brooklyn students or residents,,,,,,,,Yes
,Brooklyn High School of the Arts,15K656,BK,K47L - Dance,Audition*,9/10,Performing Arts,6,Y,4,Y,100% of offers went to Brooklyn students or residents,,,,,,,,Yes
,Brooklyn High School of the Arts,15K656,BK,K47M - Vocal Music,Audition*,9/10,Performing Arts,6,Y,6,Y,100% of offers went to Brooklyn students or residents,,,,,,,,Yes
,Brooklyn High School of the Arts,15K656,BK,K47R - Drama,Audition*,9/10,Performing Arts,4,Y,2,N,98% of offers went to Brooklyn students or residents,,,,,,,,Yes
,Brooklyn School for Music & Theatre,17K548,BK,K48A - Performing and Visual Arts,Ed. Opt.,9/10,Performing Arts,3,N,3,N,87% of offers went to Brooklyn students or residents,,,,,,,,
,Brooklyn High School for Law and Technology,16K498,BK,K49B - Academy for Social Justice,Screened,9/10,Law & Government,10,Y,6,N,N/A: Open to New York City residents,60,55,55,65,1.9,1.8,,Yes
,Brooklyn High School for Law and Technology,16K498,BK,K49D - Computer Technology,Ed. Opt.,9/10,Computer Science & Technology,12,Y,12,Y,N/A: Open to New York City residents,,,,,,,,
,Clara Barton High School,17K600,BK,K50A - Health Career Professions,Ed. Opt.,9/10,Health Professions,3,N,3,N,N/A: Open to New York City residents,,,,,,,Yes,
,Clara Barton High School,17K600,BK,K50B - Bilingual Haitian Creole Program,Screened: Language,9/10,Health Professions,1,N,1,N,100% of offers went to students whose home language is Haitian Creole,,,,,,,,
,Clara Barton High School,17K600,BK,K50J - Gateway Honors Health Professions,Screened,9/10,Science & Math,3,N,1,N,N/A: Open to New York City residents,65,65,65,65,1.9,1.8,Yes,Yes
,"Urban Assembly School of Business for Young Women, The",02M316,M,M63R - The Urban Assembly School of Business for Young Women,Limited Unscreened,9/10,Business,4,N,3,N,15% of offers went to Manhattan students or residents who attend an information session,,,,,,,Yes,
,Urban Assembly Maker Academy,02M282,M,M61A - Urban Assembly Maker Academy,Limited Unscreened,9/10,Computer Science & Technology,4,N,4,N,16% of offers went to Manhattan students or residents who attend an information session,,,,,,,Yes,
,Academy of Urban Planning,32K552,BK,K52A - Urban Planning and Design,Limited Unscreened,9/10,Humanities & Interdisciplinary,2,N,3,N,82% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,Brooklyn International High School,13K439,BK,K53A - Brooklyn International High School,Screened: Language,9,Humanities & Interdisciplinary,8,Y,4,N,100% of offers went to New York City residents living in the United States four years or fewer who are English Language Learners,,,,,,,,
,Bushwick School for Social Justice,32K549,BK,K54A - Humanities and Interdisciplinary,Limited Unscreened,9/10,Humanities & Interdisciplinary,3,N,4,N,50% of offers went to District 32 students or residents who attend an information session,,,,,,,Yes,
,All City Leadership Secondary School,32K554,BK,"K55C - Pre-Med, Pre-Teaching, Pre-Engineering",Limited Unscreened,9,Science & Math,16,Y,11,Y,77% of offers went to continuing 8th graders,,,,,,,Yes,
,John Dewey High School,21K540,BK,K56A - The Academy for Business and Tourism/Hospitality,Ed. Opt.,9/10,Culinary Arts,7,Y,6,N,99% of offers went to Brooklyn students or residents,,,,,,,Yes,
,John Dewey High School,21K540,BK,K56B - Bilingual Chinese (Mandarin) College Preparatory Program,Screened: Language,9/10,Humanities & Interdisciplinary,3,N,1,N,100% of offers went to students whose home language is Chinese,,,,,,,,
,John Dewey High School,21K540,BK,K56J - STEM Academy,Screened,9/10,Science & Math,7,Y,5,N,100% of offers went to Brooklyn students or residents,65,70,65,69,1.9,1.9,Yes,Yes
,John Dewey High School,21K540,BK,K56L - Pre-Med and Health Academy,Screened,9,Health Professions,11,Y,4,N,100% of offers went to Brooklyn students or residents,65,65,65,65,1.9,1.8,Yes,Yes
,John Dewey High School,21K540,BK,K56M - The Academy of Law and Justice,Ed. Opt.,9/10,Law & Government,8,Y,8,Y,100% of offers went to Brooklyn students or residents,,,,,,,Yes,
,John Dewey High School,21K540,BK,K56T - The Academy of Fine and Performing Arts,Ed. Opt.,9/10,Performing Arts,7,Y,6,Y,96% of offers went to Brooklyn students or residents,,,,,,,Yes,
