Bookmarked Schools,Program Information,,,,,,,Program Demand,,,,Program Priorities,Selection Criteria (previous year's minimum grades),,,,,,Demonstrated Interest Used?,Additional Requirements?
,School Name,School DBN,Borough,Program Code and Name,Admissions Method,Grade Level,Interest Area,GE Applicants Per Seat,GE Filled?,SWD Applicants Per Seat,SWD Filled?,Percent of Offers to Students in the First Priority Group,English Course Grade,Math Course Grade,Social Studies Course Grade,Science Course Grade,English Standardized Test Score,Math Standardized Test Score,,
,Robert H. Goddard High School of Communication Arts and Technology,27Q308,Q,Q02A - Robert H. Goddard High School of Communication,Limited Unscreened,9/10,Communications,9,Y,9,Y,81% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Pan American International High School,24Q296,Q,Q03A - Pan American International High School,Screened: Language,9/10,Humanities & Interdisciplinary,2,N,1,N,100% of offers went to New York City residents living in the United States four years or fewer whose home language is Spanish and are English Language Learners,,,,,,,,
,Queens Preparatory Academy,29Q248,Q,Q04R - Queens Preparatory Academy,Limited Unscreened,9,Science & Math,2,N,3,N,91% of offers went to Queens students or residents who attend an information session,,,,,,,Yes,
,Queens Collegiate: A College Board School,28Q310,Q,Q05A - Queens Collegiate: A College Board School,Limited Unscreened,9,Humanities & Interdisciplinary,7,Y,7,Y,37% of offers went to continuing 8th graders,,,,,,,Yes,
,"Queens High School for Information, Research, and Technology",27Q302,Q,Q06B - Gateway to Engineering – Information Technology,Limited Unscreened,9/10,Computer Science & Technology,5,N,7,N,48% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,"Queens High School for Information, Research, and Technology",27Q302,Q,Q06C - Gateway to Engineering – Pre-Engineering,Limited Unscreened,9/10,Engineering,3,N,5,N,48% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,High School of Applied Communication,24Q267,Q,Q07R - High School of Applied Communication,Limited Unscreened,9,Humanities & Interdisciplinary,5,Y,6,Y,38% of offers went to Queens students or residents who attend an information session,,,,,,,Yes,
,Academy of Finance and Enterprise,24Q264,Q,Q08R - Academy of Finance and Enterprise,Limited Unscreened,9/10,Business,14,Y,9,Y,69% of offers went to Queens students or residents who attend an information session,,,,,,,Yes,
,Pathways College Preparatory School: A College Board School,29Q259,Q,Q09A - Continuing Eighth Grade Program,For Continuing 8th Graders,9,Humanities & Interdisciplinary,N/A,N/A,N/A,N/A,N/A: New Program,,,,,,,,
,Pathways College Preparatory School: A College Board School,29Q259,Q,Q09R - Pathways College Preparatory School: A College Board School,Ed. Opt.,9,Humanities & Interdisciplinary,3,N,1,N,46% of offers went to Queens students or residents who attend an information session,,,,,,,,
,John Adams High School,27Q480,Q,Q10A - Environmental and Science Investigative Institute,Ed. Opt.,9/10,Environmental Science,3,N,4,N,N/A: Open to New York City residents,,,,,,,,
,John Adams High School,27Q480,Q,Q10B - Law and International Studies Institute,Ed. Opt.,9/10,Humanities & Interdisciplinary,2,N,2,N,N/A: Open to New York City residents,,,,,,,,
,John Adams High School,27Q480,Q,Q10C - Medical and Fitness Careers,Ed. Opt.,9/10,Health Professions,4,N,3,N,N/A: Open to New York City residents,,,,,,,,
,John Adams High School,27Q480,Q,Q10D - Media & Communication Arts Institute,Ed. Opt.,9/10,Communications,2,N,3,N,N/A: Open to New York City residents,,,,,,,,
,John Adams High School,27Q480,Q,Q10E - Business Institute,Ed. Opt.,9/10,Business,2,N,3,N,N/A: Open to New York City residents,,,,,,,,
,John Adams High School,27Q480,Q,Q10F - S.T.E.M. Academy,Screened,9/10,Computer Science & Technology,10,Y,7,N,N/A: Open to New York City residents,70,65,65,65,1.8,1.9,,Yes
,John Adams High School,27Q480,Q,Q10G - Art History & Fine Arts,Screened,9/10,Performing Arts,5,N,5,N,N/A: Open to New York City residents,60,55,61,65,1.8,1.6,,Yes
,John Adams High School,27Q480,Q,Q10Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,Academy of Medical Technology: A College Board School,27Q309,Q,Q11A - Academy of Medical Technology: A College Board School,Limited Unscreened,9/10,Health Professions,5,Y,4,Y,41% of offers went to continuing 8th graders,,,,,,,Yes,
,Academy of Medical Technology: A College Board School,27Q309,Q,Q11B - Medical Scholars,Limited Unscreened,9/10,Health Professions,N/A,N/A,N/A,N/A,N/A: New Program,,,,,,,Yes,
,Bayside High School,26Q495,Q,Q12A - Digital Art & Design,Audition,9,Visual Art & Design,15,Y,5,Y,100% of offers went to Queens students or residents,63,60,65,65,1.9,1.9,,Yes
,Bayside High School,26Q495,Q,Q12B - Music: Performance & Production,Audition*,9,Performing Arts,9,Y,3,Y,100% of offers went to Queens students or residents,65,65,65,65,2.0,2.0,,Yes
,Bayside High School,26Q495,Q,Q12C - Environmental Engineering & Technology,Screened,9,Environmental Science,29,Y,N/A,N,100% of offers went to Queens students or residents,N/A,75,N/A,70,2.1,2.7,,Yes
,Bayside High School,26Q495,Q,Q12D - Humanities & Non-Profit Management,Screened,9,Humanities & Interdisciplinary,21,Y,N/A,N,100% of offers went to Queens students or residents,75,N/A,79,N/A,2.2,2.3,,Yes
,Bayside High School,26Q495,Q,Q12E - Computer Programming & Web Design,Ed. Opt.,9,Computer Science & Technology,31,Y,19,Y,100% of offers went to Queens students or residents,,,,,,,,
,Bayside High School,26Q495,Q,Q12G - Sports Medicine & Management,Ed. Opt.,9,Health Professions,23,Y,16,Y,100% of offers went to Queens students or residents,,,,,,,,
,Bayside High School,26Q495,Q,Q12Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,John Bowne High School,25Q425,Q,Q14A - Academy for Creative Artists,Ed. Opt.,9/10,Humanities & Interdisciplinary,9,Y,10,Y,N/A: Open to New York City residents,,,,,,,,
,John Bowne High School,25Q425,Q,Q14B - Introduction to Agriculture,Ed. Opt.,9/10,Animal Science,5,Y,6,Y,N/A: Open to New York City residents,,,,,,,,
,John Bowne High School,25Q425,Q,Q14D - John Bowne Law Institute,Ed. Opt.,9,Law & Government,N/A,N/A,N/A,N/A,N/A: New Program,,,,,,,,
,John Bowne High School,25Q425,Q,Q14H - Science Technology Engineering and Math (S.T.E.M.) Research Program,Screened,9/10,Science & Math,8,Y,3,N,N/A: Open to New York City residents,69,70,70,70,1.9,2.0,,Yes
,John Bowne High School,25Q425,Q,Q14Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,William Cullen Bryant High School,30Q445,Q,Q15A - Forensic Science and Law Academy,Screened,9,Law & Government,3,N,3,N,99% of offers went to Queens students or residents,65,65,65,65,1.9,1.8,,Yes
,William Cullen Bryant High School,30Q445,Q,Q15B - Business and Technology Institute,Ed. Opt.,9,Business,6,Y,8,Y,98% of offers went to Queens students or residents,,,,,,,,
,William Cullen Bryant High School,30Q445,Q,Q15C - Arts and Humanities Institute,Ed. Opt.,9,Humanities & Interdisciplinary,4,N,4,N,92% of offers went to Queens students or residents,,,,,,,,
,William Cullen Bryant High School,30Q445,Q,Q15J - Math and Science Academy,Screened,9/10,Science & Math,3,N,2,N,96% of offers went to Queens students or residents,65,65,65,65,1.9,1.9,,Yes
,William Cullen Bryant High School,30Q445,Q,Q15Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,Benjamin N. Cardozo High School,26Q415,Q,Q16A - Mentor Law and Humanities Institute,Ed. Opt.,9/10,Law & Government,28,Y,10,Y,100% of offers went to Queens students or residents,,,,,,,,
,Benjamin N. Cardozo High School,26Q415,Q,Q16B - School of Journalism and Media Studies,Limited Unscreened,9,Communications,14,Y,5,Y,8% of offers went to students who live in the zoned area who attend an information session,,,,,,,Yes,
,Benjamin N. Cardozo High School,26Q415,Q,Q16J - DaVinci Science/Math Research Institute,Screened,9/10,Science & Math,27,Y,38,N,100% of offers went to Queens students or residents,N/A,90,N/A,90,2.8,3.8,,Yes
,Benjamin N. Cardozo High School,26Q415,Q,Q16K - Performing Dance,Audition,9/10,Performing Arts,4,N,9,N,100% of offers went to Queens students or residents,N/A,65,N/A,65,1.9,1.9,,Yes
,Benjamin N. Cardozo High School,26Q415,Q,Q16Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,Flushing High School,25Q460,Q,Q18A - Thurgood Marshall Law Academy,Ed. Opt.,9/10,Law & Government,3,N,3,N,N/A: Open to New York City residents,,,,,,,,
,Flushing High School,25Q460,Q,Q18B - Academy of Health Sciences,Ed. Opt.,9/10,Health Professions,5,N,4,N,N/A: Open to New York City residents,,,,,,,,
,Flushing High School,25Q460,Q,Q18C - Academy of Business Entrepreneurship,Ed. Opt.,9/10,Business,4,N,5,N,N/A: Open to New York City residents,,,,,,,,
,Flushing High School,25Q460,Q,Q18Z - Zoned,Zoned Priority,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Priority to students who apply and live in the zoned area,,,,,,,,
,Forest Hills High School,28Q440,Q,Q19A - Academy of Chinese Studies,Ed. Opt.,9,Humanities & Interdisciplinary,N/A,N/A,N/A,N/A,N/A: New Program,,,,,,,,
,Forest Hills High School,28Q440,Q,Q19J - Carl Sagan Science/Math Honors Academy,Screened,9/10,Science & Math,22,Y,79,Y,100% of offers went to Queens students or residents,85,86,85,86,2.8,3.3,,Yes
,Forest Hills High School,28Q440,Q,Q19M - Law & Humanities Institute,Ed. Opt.,9/10,Law & Government,36,Y,9,Y,N/A: Open to New York City residents,,,,,,,,
,Forest Hills High School,28Q440,Q,Q19N - Drama Academy,Audition*,9,Performing Arts,9,Y,4,Y,N/A: Open to New York City residents,65,65,65,65,,,,Yes
,Forest Hills High School,28Q440,Q,Q19P - Academy of Instrumental and Vocal Music,Audition*,9/10,Performing Arts,6,Y,4,Y,N/A: Open to New York City residents,,,,,,,,Yes
,Forest Hills High School,28Q440,Q,Q19Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,Francis Lewis High School,26Q430,Q,Q20A - Jacob K. Javits Law Institute,Ed. Opt.,9/10,Law & Government,47,Y,11,Y,100% of offers went to Queens students or residents,,,,,,,,
,Francis Lewis High School,26Q430,Q,Q20H - Math Research and Robotics,Screened,9/10,Science & Math,51,Y,35,Y,100% of offers went to Queens students or residents,87,90,89,88,3.0,3.9,,Yes
,Francis Lewis High School,26Q430,Q,Q20J - University Scholars,Screened,9/10,Humanities & Interdisciplinary,28,Y,34,Y,100% of offers went to Queens students or residents,88,86,88,86,3.1,3.2,,Yes
,Francis Lewis High School,26Q430,Q,Q20K - Science Research Institute,Screened,9/10,Science & Math,47,Y,26,N,100% of offers went to Queens students or residents,85,89,87,88,3.1,3.7,,Yes
,Francis Lewis High School,26Q430,Q,Q20Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,High School for Law Enforcement and Public Safety,28Q690,Q,Q21A - Law Enforcement and Public Safety,Screened,9,Law & Government,3,N,4,Y,92% of offers went to Queens students or residents,55,55,55,56,1.8,1.7,,Yes
,Information Technology High School,30Q502,Q,Q22A - Information Technology,Ed. Opt.,9/10,Computer Science & Technology,6,Y,8,Y,100% of offers went to Queens students or residents,,,,,,,,
,Grover Cleveland High School,24Q485,Q,Q23A - Academy of Information Technology (AoIT),Ed. Opt.,9/10,Computer Science & Technology,3,N,3,N,84% of offers went to Queens students or residents,,,,,,,,
,Grover Cleveland High School,24Q485,Q,"Q23B - Academy of Business, Hospitality & Tourism",Ed. Opt.,9/10,"Hospitality, Travel and Tourism",3,N,3,N,92% of offers went to Queens students or residents,,,,,,,,
,Grover Cleveland High School,24Q485,Q,Q23H - Academy of Arts and Humanities,Ed. Opt.,9/10,Performing Arts/Visual Art & Design,4,N,5,Y,72% of offers went to Queens students or residents,,,,,,,,
,Grover Cleveland High School,24Q485,Q,Q23J - Math/Science Institute,Ed. Opt.,9/10,Science & Math,4,N,3,N,86% of offers went to Queens students or residents,,,,,,,,
,Grover Cleveland High School,24Q485,Q,Q23S - Academy of Allied Health and Athletic Sciences,Ed. Opt.,9/10,Health Professions,3,N,3,N,89% of offers went to Queens students or residents,,,,,,,,
,Grover Cleveland High School,24Q485,Q,Q23Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,Hillcrest High School,28Q505,Q,Q24A - Health Sciences Institute,Ed. Opt.,9/10,Health Professions,10,Y,7,Y,N/A: Open to New York City residents,,,,,,,Yes,
,Hillcrest High School,28Q505,Q,Q24B - Teachers of Tomorrow,Ed. Opt.,9/10,Teaching,6,Y,6,Y,N/A: Open to New York City residents,,,,,,,Yes,Yes
,Hillcrest High School,28Q505,Q,"Q24H - The Academy of Media, Arts and Music",Screened,9/10,Humanities & Interdisciplinary,7,N,6,Y,N/A: Open to New York City residents,69,65,65,65,1.9,1.8,,Yes
,Hillcrest High School,28Q505,Q,Q24J - Pre-Med Program,Screened,9/10,Health Professions,6,Y,3,N,N/A: Open to New York City residents,65,67,70,68,1.9,1.9,,Yes
,Hillcrest High School,28Q505,Q,Q24L - Theatre Arts,Audition,9/10,Performing Arts,2,N,2,N,N/A: Open to New York City residents,55,55,55,55,,,,Yes
,Hillcrest High School,28Q505,Q,Q24P - Academy of Public Service and Law,Ed. Opt.,9/10,Law & Government,12,Y,2,Y,N/A: Open to New York City residents,,,,,,,Yes,
,Hillcrest High School,28Q505,Q,Q24T - Biz/Tech,Ed. Opt.,9/10,Business,8,Y,8,Y,N/A: Open to New York City residents,,,,,,,,Yes
,Hillcrest High School,28Q505,Q,Q24Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,Flushing International High School,25Q263,Q,Q25X - Flushing International High School,Screened: Language,9,Humanities & Interdisciplinary,3,N,2,N,100% of offers went Students eligible for these programs are English Language Learners,,,,,,,,
,Jamaica Gateway to the Sciences,28Q350,Q,Q26G - Jamaica Gateway to the Sciences,Ed. Opt.,9,Science & Math,12,Y,9,Y,99% of offers went to Queens students or residents,,,,,,,Yes,
,International High School at LaGuardia Community College,24Q530,Q,Q27J - International High School at LaGuardia Community College,Screened: Language,9/10,Humanities & Interdisciplinary,6,Y,2,N,100% of offers went Students eligible for these programs are English Language Learners,,,,,,,,
,Long Island City High School,30Q450,Q,Q29J - Culinary Institute,Screened,9/10,Culinary Arts,3,N,3,N,N/A: Open to New York City residents,,,,,N/A,1.8,Yes,Yes
,Long Island City High School,30Q450,Q,Q29M - Academy of Restaurant and Hotel Management,Screened,9/10,"Hospitality, Travel and Tourism",1,N,2,N,N/A: Open to New York City residents,,,,,N/A,1.8,Yes,Yes
,Long Island City High School,30Q450,Q,Q29N - Sports Medicine & Health Sciences,Ed. Opt.,9/10,Health Professions,4,Y,5,N,N/A: Open to New York City residents,,,,,,,Yes,
,Long Island City High School,30Q450,Q,Q29P - Community & Culture,Ed. Opt.,9/10,Law & Government,5,N,6,N,N/A: Open to New York City residents,,,,,,,Yes,
,Long Island City High School,30Q450,Q,Q29Q - Broadway Productions,Ed. Opt.,9/10,Performing Arts/Visual Art & Design,4,Y,6,N,N/A: Open to New York City residents,,,,,,,Yes,
,Long Island City High School,30Q450,Q,Q29R - Global Languages Academy,Ed. Opt.,9/10,"Hospitality, Travel and Tourism",3,N,4,Y,42% of offers went given to New York City residents who are English Language Learners,,,,,,,Yes,
,Long Island City High School,30Q450,Q,Q29S - Dual Language Spanish Program,Screened: Language,9,Humanities & Interdisciplinary,1,N,2,N,N/A,,,,,,,,
,Long Island City High School,30Q450,Q,Q29Z - Zoned,Zoned Guarantee,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to students who apply and live in the zoned area,,,,,,,,
,Middle College High School at LaGuardia Community College,24Q520,Q,Q30J - Middle College High School at LaGuardia Community College,Screened,9/10,Humanities & Interdisciplinary,18,Y,19,Y,98% of offers went to Districts 24 and 30 students or residents,65,65,65,65,2.0,2.0,,Yes
,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",24Q560,Q,Q31J - Arts and Technology for New Students,Ed. Opt.,9/10,Humanities & Interdisciplinary,11,Y,11,Y,"97% of offers went to Districts 24, 30 and 32 students or residents",,,,,,,,Yes
,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",24Q560,Q,Q31K - Arts and Technology for Current Students,For Continuing 8th Graders,9,Humanities & Interdisciplinary,N/A,N/A,N/A,N/A,N/A: Guaranteed offer to continuing 8th grade students who apply,,,,,,,,
,"Queens High School of Teaching, Liberal Arts and the Sciences",26Q566,Q,Q32A - Teaching Institute,Ed. Opt.,9/10,Teaching,4,Y,3,Y,10% of offers went to students attending PS/IS 266Q and PS/MS 208Q,,,,,,,,
,High School for Community Leadership,28Q328,Q,Q33A - High School for Community Leadership,Limited Unscreened,9,Humanities & Interdisciplinary,4,N,4,N,61% of offers went to Queens students or residents who attend an information session,,,,,,,Yes,
,Newtown High School,24Q455,Q,Q34A - Business Institute,Ed. Opt.,9/10,Business,4,N,4,N,100% of offers went to Queens students or residents,,,,,,,,
,Newtown High School,24Q455,Q,Q34J - Pre-Engineering & Computer Technology,Screened,9/10,Engineering,4,N,2,N,100% of offers went to Queens students or residents,55,60,60,55,1.7,1.8,,Yes
,Newtown High School,24Q455,Q,Q34K - Major Art,Audition,9/10,Visual Art & Design,3,N,4,N,100% of offers went to Queens students or residents,55,55,55,55,1.7,1.5,,Yes
,Newtown High School,24Q455,Q,Q34Z - Zoned,Zoned Priority,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Priority to students who apply and live in the zoned area,,,,,,,,
,Richmond Hill High School,27Q475,Q,Q35B - Ninth Grade Academy,Ed. Opt.,9,Humanities & Interdisciplinary,4,Y,5,Y,95% of offers went to Queens students or residents,,,,,,,,
,Richmond Hill High School,27Q475,Q,Q35P - Criminology and Forensics Institute (CFI),Screened,9,Law & Government,4,N,3,N,91% of offers went to Queens students or residents,N/A,55,N/A,55,N/A,1.7,,Yes
,Richmond Hill High School,27Q475,Q,Q35Z - Zoned,Zoned Priority,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Priority to students who apply and live in the zoned area,,,,,,,,
,Rockaway Park High School for Environmental Sustainability,27Q324,Q,Q36A - Rockaway Park High School for Environmental Sustainability,Limited Unscreened,9,Humanities & Interdisciplinary,2,N,6,N,Program did not indicate attendance at information sessions for any students in this group,,,,,,,Yes,
,Rockaway Park High School for Environmental Sustainability,27Q324,Q,Q36G - The Green Carpentry Program,Limited Unscreened,9/10,Engineering,1,N,3,N,Program did not indicate attendance at information sessions for any students in this group,,,,,,,Yes,
,Townsend Harris High School,25Q525,Q,Q37J - Intensive Academic Humanities,Screened,9/10,Humanities & Interdisciplinary,23,Y,2,N,N/A: Open to New York City residents,92,93,93,92,3.6,4.0,,Yes
,Martin Van Buren High School,26Q435,Q,Q38K - Pre-Med/Pre-Nursing Program,Screened,9/10,Health Professions,4,N,3,N,93% of offers went to Queens students or residents,55,56,55,65,1.8,1.6,,Yes
,Martin Van Buren High School,26Q435,Q,Q38L - Engineering/Robotics and Design Program,Ed. Opt.,10,Engineering,5,Y,8,Y,97% of offers went to Queens students or residents,,,,,,,,
,Martin Van Buren High School,26Q435,Q,Q38M - Pre-Law and Leadership Program,Ed. Opt.,9/10,Law & Government,3,N,2,N,100% of offers went to Queens students or residents,,,,,,,,
,Martin Van Buren High School,26Q435,Q,Q38Z - Zoned,Zoned Priority,9/10,Zoned,N/A,N/A,N/A,N/A,N/A: Priority to students who apply and live in the zoned area,,,,,,,,
,Queens Metropolitan High School,28Q686,Q,Q39Z - Zoned,Zoned Priority,9/10,Zoned,N/A,N/A,N/A,N/A,63% of offers went to students who apply and live in the zoned area,,,,,,,,
,Frank Sinatra School of the Arts High School,30Q501,Q,Q40F - Film and Media Arts,Audition: pre-registration,9/10,Film/Video,8,Y,17,Y,N/A: Open to New York City residents,84,71,83,80,2.1,2.1,,Yes
,Frank Sinatra School of the Arts High School,30Q501,Q,Q40J - Fine Arts,Audition: pre-registration,9/10,Visual Art & Design,13,Y,4,N,N/A: Open to New York City residents,78,75,80,80,2.4,2.2,,Yes
,Frank Sinatra School of the Arts High School,30Q501,Q,Q40K - Instrumental Music,Audition: pre-registration,9/10,Performing Arts,12,Y,8,N,N/A: Open to New York City residents,75,70,78,80,2.0,2.4,,Yes
,Frank Sinatra School of the Arts High School,30Q501,Q,Q40L - Vocal Music,Audition: pre-registration,9/10,Performing Arts,22,Y,4,N,N/A: Open to New York City residents,77,80,70,80,2.2,2.6,,Yes
,Frank Sinatra School of the Arts High School,30Q501,Q,Q40M - Dance,Audition: pre-registration,9/10,Performing Arts,20,Y,14,Y,N/A: Open to New York City residents,80,78,75,75,2.1,1.9,,Yes
,Frank Sinatra School of the Arts High School,30Q501,Q,Q40N - Drama,Audition: pre-registration,9/10,Performing Arts,20,Y,14,Y,N/A: Open to New York City residents,86,81,83,81,2.8,2.8,,Yes
,Baccalaureate School for Global Education,30Q580,Q,Q41A - International Baccalaureate Program,Screened,9/10,Humanities & Interdisciplinary,27,Y,3,N,43% of offers went to continuing 8th graders,90,90,90,88,3.1,3.7,,Yes
,Excelsior Preparatory High School,29Q265,Q,Q42X - Excelsior Preparatory High School,Limited Unscreened,9,Humanities & Interdisciplinary,3,N,4,N,29% of offers went to Queens students or residents who attend an information session,,,,,,,Yes,
,York Early College Academy,28Q284,Q,Q43A - York Early College Academy,Screened,9,Humanities & Interdisciplinary,16,Y,8,Y,89% of offers went to continuing 8th graders,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
,Cambria Heights Academy,29Q326,Q,Q44A - Cambria Heights Academy,Limited Unscreened,9/10,Humanities & Interdisciplinary,5,N,6,Y,27% of offers went to Queens students or residents who attend an information session,,,,,,,Yes,
,George Washington Carver High School for the Sciences,29Q272,Q,Q45A - Veterinary Science Institute,Limited Unscreened,9,Animal Science,5,N,5,Y,85% of offers went to Queens students or residents who attend an information session,,,,,,,Yes,
,George Washington Carver High School for the Sciences,29Q272,Q,Q45C - Carver Research Institute,Limited Unscreened,9,Science & Math,6,N,4,N,89% of offers went to Queens students or residents who attend an information session,,,,,,,Yes,
,Hillside Arts & Letters Academy,28Q325,Q,Q46A - Hillside Arts & Letters Academy,Limited Unscreened,9,Humanities & Interdisciplinary,5,N,6,N,57% of offers went to Queens students or residents who attend an information session,,,,,,,Yes,
,Maspeth High School,24Q585,Q,Q47A - Maspeth High School,Limited Unscreened,9,Humanities & Interdisciplinary,12,Y,7,Y,87% of offers went to District 24 students or residents who attend an information session,,,,,,,Yes,
,Rockaway Collegiate High School,27Q351,Q,Q48A - Rockaway Collegiate High School,Limited Unscreened,9,Humanities & Interdisciplinary,2,N,3,N,Program did not indicate attendance at information sessions for any students in this group,,,,,,,Yes,
,Metropolitan Expeditionary Learning School,28Q167,Q,Q49A - Metropolitan Expeditionary Learning School,Limited Unscreened,9,Humanities & Interdisciplinary,14,Y,15,Y,68% of offers went to continuing 8th graders,,,,,,,Yes,
,August Martin High School,27Q400,Q,Q50A - Aerospace and Technology Academy,Unscreened,9/10,Engineering,2,N,1,N,N/A: Open to New York City residents,,,,,,,,
,August Martin High School,27Q400,Q,Q50H - Culinary Arts Academy,Unscreened,9/10,Culinary Arts,1,N,2,N,N/A: Open to New York City residents,,,,,,,,
,Veritas Academy,25Q240,Q,Q51A - Veritas Academy,Limited Unscreened,9/10,Humanities & Interdisciplinary,4,N,4,Y,74% of offers went to Queens students or residents who attend an information session,,,,,,,Yes,
,Humanities & Arts Magnet High School,29Q498,Q,Q53A - Institute of the Performing & Media Arts,Limited Unscreened,9/10,Performing Arts,2,N,2,N,22% of offers went to Queens students or residents who attend an information session,,,,,,,Yes,
,Humanities & Arts Magnet High School,29Q498,Q,Q53J - Institute of Visual Arts,Audition: pre-registration,9/10,Visual Art & Design,2,N,4,N,83% of offers went to Queens students or residents,55,60,60,58,1.8,1.7,,Yes
,"Mathematics, Science Research and Technology Magnet High School",29Q492,Q,Q55A - Science Research,Ed. Opt.,9/10,Science & Math,2,N,2,N,N/A: Open to New York City residents,,,,,,,,
,"Young Women's Leadership School, Astoria (TYWLS)",30Q286,Q,"Q56A - The Young Women's Leadership School, Astoria",Screened,9/10,Humanities & Interdisciplinary,6,Y,3,N,74% of offers went to continuing 8th graders,65,75,78,77,2.2,2.1,,Yes
,Queens Gateway to Health Sciences Secondary School,28Q680,Q,Q57A - Queens Gateway to Health Sciences,Screened,9/10,Health Professions,16,Y,5,Y,41% of offers went to continuing 8th graders,70,70,70,75,2.0,2.0,,Yes
,Business Technology Early College High School (BTECH),26Q315,Q,Q58A - Business Technology Early College High School,Limited Unscreened,9/10,Computer Science & Technology,7,Y,6,Y,48% of offers went to Queens students or residents who attend an information session,,,,,,,Yes,
,Institute for Health Professions at Cambria Heights,29Q243,Q,Q59A - Institute for Health Professions at Cambria Heights,Limited Unscreened,9/10,Health Professions,3,N,2,N,35% of offers went to Queens students or residents who attend an information session,,,,,,,Yes,
,Aviation Career & Technical Education High School,24Q610,Q,Q60A - Aerospace Engineering Technology,Screened,9,Engineering,11,Y,5,Y,N/A: Open to New York City residents,80,82,80,80,2.3,2.8,,Yes
,Aviation Career & Technical Education High School,24Q610,Q,Q60Q - Aviation Maintenance Technology,Screened,9,Computer Science & Technology,9,Y,6,Y,N/A: Open to New York City residents,75,77,77,80,2.0,2.1,,Yes
,Energy Tech High School,30Q258,Q,Q61A - Energy Tech High School,Limited Unscreened,9/10,Engineering,12,Y,12,Y,100% of offers went to Queens students or residents who attend an information session,,,,,,,Yes,
,Queens High School for Language Studies,25Q241,Q,Q62A - Queens High School for Language Studies,Screened: Language,9/10,Humanities & Interdisciplinary,2,N,2,N,90% of offers went to Queens students or residents,,,,,,,,
,International High School for Health Sciences,24Q236,Q,Q63A - International High School for Health Sciences,Screened: Language,9/10,Health Professions,5,N,2,N,100% of offers went to Queens students or residents,,,,,,,,
,Epic High School - North,27Q334,Q,Q65A - Epic High School - North,Limited Unscreened,9,Humanities & Interdisciplinary,6,Y,6,Y,46% of offers went to Queens students or residents who attend an information session,,,,,,,Yes,
,Epic High School - South,27Q314,Q,Q66A - Epic High School - South,Limited Unscreened,9,Humanities & Interdisciplinary,3,N,4,N,14% of offers went to Queens students or residents who attend an information session,,,,,,,Yes,
,Thomas A. Edison Career and Technical Education High School,28Q620,Q,Q67I - Visual Arts,Screened,9/10,Visual Art & Design,10,Y,7,Y,N/A: Open to New York City residents,77,75,75,75,2.0,2.0,,Yes
,Thomas A. Edison Career and Technical Education High School,28Q620,Q,Q67K - Information Technologies,Screened,9/10,Computer Science & Technology,10,Y,6,Y,N/A: Open to New York City residents,75,75,75,75,2.0,2.1,,Yes
,Thomas A. Edison Career and Technical Education High School,28Q620,Q,Q67M - Computer Aided Design (CAD),Screened,9/10,Engineering,15,Y,8,Y,N/A: Open to New York City residents,75,75,75,75,2.2,2.3,,Yes
,Thomas A. Edison Career and Technical Education High School,28Q620,Q,Q67N - Electrical Installation Technologies,Ed. Opt.,9/10,Engineering,33,Y,40,N,N/A: Open to New York City residents,,,,,,,,
,Thomas A. Edison Career and Technical Education High School,28Q620,Q,Q67P - Automotive Technologies,Screened,9/10,Engineering,9,Y,10,Y,N/A: Open to New York City residents,70,70,70,70,1.9,2.0,,Yes
